Es hora de levantarse;It's time to get up;È ora di alzarsi;É hora de levantar
Es hora de desayunar;It's time to have breakfast;È ora di fare colazione;É hora do café da manhã
Recuerden lavarse los dientes antes de ir a dormir;Remember to brush your teeth before going to bed;Ricordatevi di lavarvi i denti prima di andare a dormire;Lembrem-se de escovar os dentes antes de dormir
¿Te duele algo?;Do you feel pain?;Ti fa male qualcosa?;Está doendo alguma coisa?
Para poder jugar deben terminar sus tareas primero;To play you must finish your homework first;Per giocare dovete finire prima i compiti;Para brincar vocês precisam terminar a lição primeiro
Terminen su comida antes de levantarse de la mesa;Finish your food before leaving the table;Finite il cibo prima di alzarvi da tavola;Terminem a comida antes de sair da mesa
Ya es tarde y debemos salir de la casa;It's late and we must leave the house;È tardi e dobbiamo uscire di casa;Está tarde e precisamos sair de casa
¿Ya hiciste las tareas?;Did you do your homework?;Hai fatto i compiti?;Você já fez a lição?
¿Ya organizaste tus juguetes?;Did you organize your toys?;Hai sistemato i tuoi giocattoli?;Você já organizou seus brinquedos?
Juguemos juntos;Let's play together;Giochiamo insieme;Vamos brincar juntos
Discúlpame, fue sin intención;Sorry, it was unintentional;Scusami, non era intenzionale;Desculpe, não foi de propósito
¿Tienes sed?;Are you thirsty?;Hai sete?;Você está com sede?
¿Tienes hambre?;Are you hungry?;Hai fame?;Você está com fome?
Pueden jugar celular después de las 8 de la noche;You can play on the phone after 8 p.m.;Potete giocare al cellulare dopo le 8 di sera;Podem jogar no celular depois das 8 da noite
Debemos prepararnos para ir a la iglesia;We must get ready to go to church;Dobbiamo prepararci per andare in chiesa;Precisamos nos preparar para ir à igreja
Vamos a lavarnos las manos;Let's wash our hands;Andiamo a lavarci le mani;Vamos lavar as mãos
Bájale el volumen a la televisión;Turn down the TV volume;Abbassa il volume della TV;Baixe o volume da TV
Es hora de hacer la tarea;It's time to do homework;È ora di fare i compiti;É hora de fazer a lição
Ven a ayudarme en la cocina;Come help me in the kitchen;Vieni ad aiutarmi in cucina;Venha me ajudar na cozinha
No peleen entre ustedes;Don't fight with each other;Non litigate tra voi;Não briguem entre vocês
Guarden silencio, por favor;Be quiet, please;Fate silenzio, per favore;Façam silêncio, por favor
Pongan la mesa para comer;Set the table for dinner;Apparecchiate la tavola;Arrumem a mesa para comer
Recojan su ropa del suelo;Pick up your clothes from the floor;Raccogliete i vestiti da terra;Recolham as roupas do chão
Es hora de bañarse;It's time to shower;È ora di fare la doccia;É hora do banho
Vamos a leer un cuento;Let's read a story;Leggiamo una storia;Vamos ler uma história
Duerman bien, hasta mañana;Sleep well, see you tomorrow;Dormite bene, a domani;Durmam bem, até amanhã
Abracen a mamá;Hug mom;Abbraccia la mamma;Abrace a mamãe
Abracen a papá;Hug dad;Abbraccia il papà;Abrace o papai
Den gracias por la comida;Give thanks for the food;Ringraziate per il cibo;Agradeçam pela comida
Vayan a lavarse la cara;Go wash your face;Andate a lavarvi la faccia;Vão lavar o rosto
No corran dentro de la casa;Don't run inside the house;Non correte in casa;Não corram dentro de casa
Compartan sus juguetes;Share your toys;Condividete i vostri giocattoli;Compartilhem seus brinquedos
Esperen su turno para hablar;Wait for your turn to speak;Aspettate il vostro turno per parlare;Esperem a vez para falar
Acomoden sus cuadernos;Organize your notebooks;Sistemate i quaderni;Arrumem os cadernos
Apaguen las luces;Turn off the lights;Spegnete le luci;Apaguem as luzes
No griten;Don't shout;Non urlate;Não gritem
Respeten a los demás;Respect others;Rispettate gli altri;Respeitem os outros
Vamos a cantar juntos;Let's sing together;Cantiamo insieme;Vamos cantar juntos
Hagan caso a mamá;Listen to mom;Ascoltate la mamma;Obedeçam à mamãe
Hagan caso a papá;Listen to dad;Ascoltate il papà;Obedeçam ao papai
Vamos a la cama;Let's go to bed;Andiamo a letto;Vamos para a cama
Pongan atención;Pay attention;Prestate attenzione;Prestem atenção
No se distraigan;Don't get distracted;Non distraetevi;Não se distraiam
Levanten la mesa;Clear the table;Sparecchiate la tavola;Levantem a mesa
No olviden lavarse los dientes;Don't forget to brush your teeth;Non dimenticate di lavarvi i denti;Não se esqueçam de escovar os dentes
Recojan los platos;Pick up the dishes;Raccogliete i piatti;Recolham os pratos
Terminen la leche;Finish your milk;Finite il latte;Terminem o leite
Abrígate bien, hace frío;Bundle up, it's cold;Copritevi bene, fa freddo;Agasalhem-se, está frio
Hagan silencio, por favor;Be quiet, please;Fate silenzio, per favore;Façam silêncio, por favor
Laven sus manos antes de comer;Wash your hands before eating;Lavatevi le mani prima di mangiare;Lavem as mãos antes de comer
Es hora de cambiarse la ropa;It's time to change clothes;È ora di cambiarsi;É hora de trocar de roupa
A dormir temprano;Go to bed early;Andate a dormire presto;Durmam cedo
Vamos a dar un paseo;Let's go for a walk;Andiamo a fare una passeggiata;Vamos passear
Prepárense para la escuela;Get ready for school;Preparatevi per la scuola;Preparem-se para a escola
No olviden los cuadernos;Don't forget your notebooks;Non dimenticate i quaderni;Não se esqueçam dos cadernos
Vamos a descansar un rato;Let's take a break;Facciamo una pausa;Vamos descansar um pouco
No se olviden de saludar;Don't forget to say hello;Non dimenticate di salutare;Não se esqueçam de cumprimentar
Guarden los colores;Put away the crayons;Mettete via i colori;Guardem os lápis de cor
Revisen si tienen todo;Check if you have everything;Controllate se avete tutto;Confiram se têm tudo
Pidan las cosas con respeto;Ask for things politely;Chiedete le cose con rispetto;Peçam as coisas com respeito
Den gracias siempre;Always give thanks;Ringraziate sempre;Agradeçam sempre
No dejen las cosas tiradas;Don't leave things lying around;Non lasciate le cose in giro;Não deixem as coisas jogadas
Cuiden la casa;Take care of the house;Abbiate cura della casa;Cuidem da casa
Es hora de apagar el celular;It's time to turn off the phone;È ora di spegnere il cellulare;É hora de desligar o celular
Es hora de dormir;It's time to sleep;È ora di dormire;É hora de dormir
No hablen con la boca llena;Don't talk with your mouth full;Non parlate con la bocca piena;Não falem de boca cheia
Coman despacio;Eat slowly;Mangiate piano;Comam devagar
No interrumpan a los demás;Don't interrupt others;Non interrompete gli altri;Não interrompam os outros
Es tiempo de jugar en familia;It's family playtime;È tempo di giocare in famiglia;É hora de brincar em família
Vamos a hacer la compra;Let's go shopping;Andiamo a fare la spesa;Vamos fazer compras
Es hora de ordenar la casa;It's time to tidy up the house;È ora di mettere in ordine la casa;É hora de arrumar a casa
Pongan la ropa en su lugar;Put the clothes in their place;Mettete i vestiti al loro posto;Guardem as roupas no lugar
Vamos al parque;Let's go to the park;Andiamo al parco;Vamos ao parque
Abrácense entre hermanas;Hug each other sisters;Abbracciatevi sorelle;Abracem-se irmãs
No olviden dar un beso a mamá;Don't forget to kiss mom;Non dimenticate di baciare la mamma;Não se esqueçam de dar um beijo na mamãe
No olviden dar un beso a papá;Don't forget to kiss dad;Non dimenticate di baciare il papà;Não se esqueçam de dar um beijo no papai
Vamos a limpiar juntos;Let's clean together;Puliamo insieme;Vamos limpar juntos
Es hora de descansar;It's time to rest;È ora di riposare;É hora de descansar
Vamos a ver una película;Let's watch a movie;Guardiamo un film;Vamos assistir a um filme
Cuiden a su hermanita;Take care of your little sister;Prendetevi cura della sorellina;Cuidem da irmãzinha
Vamos a cantar canciones;Let's sing songs;Cantiamo canzoni;Vamos cantar músicas
Es momento de agradecer a Dios;It's time to thank God;È il momento di ringraziare Dio;É momento de agradecer a Deus
Sean amables entre ustedes;Be kind to each other;Siate gentili tra voi;Sejam gentis uns com os outros
Sonrían más;Smile more;Sorridete di più;Sorriam mais
Disfrutemos este momento;Let's enjoy this moment;Godiamoci questo momento;Vamos aproveitar este momento
Cierren la puerta, por favor;Close the door, please;Chiudete la porta, per favore;Fechem a porta, por favor
No olviden sus loncheras;Don't forget your lunchboxes;Non dimenticate le merende;Não se esqueçam das lancheiras
Ordenen sus útiles escolares;Organize your school supplies;Mettete in ordine il materiale scolastico;Organizem o material escolar
Cierren sus mochilas;Close your backpacks;Chiudete gli zaini;Fechem as mochilas